subsector,gas,edgar_class,ssp_emission,iso_alpha_3,edgar_emission,year,edgar_emission_epsilon,direct_weight,norm_weight,log_weight,diff,squared_diff
lvst,ch4,AG - Livestock:CH4,0.9694939019625,HRV,0.841457796,2015,0.8414587960000001,0.8414587960000001,0.02533744414840326,0.6105575383672084,0.1521584973276575,0.016392988358828575
lsmm,ch4,AG - Livestock:CH4,0.03928291345243072,HRV,0.841457796,2015,0.8414587960000001,0.8414587960000001,0.02533744414840326,0.6105575383672084,-0.953315701684779,0.6434861465409717
lsmm,n2o,AG - Livestock:N2O,0.19273752062633287,HRV,0.110192626,2015,0.110193626,0.110193626,0.0033180505547789696,0.10453353720538718,0.7490804833514859,0.006813494540083144
agrc,co2,AG - Crops:CO2,1.6942207817622494,HRV,0.09585713,2015,0.09585813,0.09585813,0.0028863891797625348,0.09153682418934682,16.67425237444387,2.5547631665484496
agrc,ch4,AG - Crops:CH4,0.13131494679508443,HRV,0.000226641,2015,0.000227641,0.000227641,6.824470230754464e-06,0.0002266153208084854,575.8510364788611,0.017183881740613974
agrc,n2o,AG - Crops:N2O,0.1380939397887411,HRV,1.038055189,2015,1.038056189,1.038056189,0.0312572603157006,0.71199601441425,-0.8669687236085242,0.809932050005388
scoe,co2,EN - Building:CO2,5.2113160665308715,HRV,2.726867007,2015,2.726868007,2.726868007,0.08210969203497172,1.3155679362006645,0.9110994933209728,6.172482160506712
scoe,ch4,EN - Building:CH4,0.01226295456487937,HRV,0.416708461,2015,0.41670946099999995,0.41670946099999995,0.012547661221923693,0.34833619571539676,-0.9705719314952647,0.16357697656757403
scoe,n2o,EN - Building:N2O,0.021603739182420895,HRV,0.104121602,2015,0.104122602,0.104122602,0.00313524372566069,0.09905008852832732,-0.7925163339423568,0.006809362720706438
entc,co2,EN - Electricity/Heat:CO2,,HRV,3.297328035,2015,3.297329035,3.297329035,0.09928705316288587,1.457993442349168,,
entc,ch4,EN - Electricity/Heat:CH4,,HRV,0.004395555,2015,0.004396555,0.004396555,0.0001323561678828806,0.0043859227638221076,,
entc,n2o,EN - Electricity/Heat:N2O,,HRV,0.011222465,2015,0.011223464999999998,0.011223464999999998,0.0003379237574321676,0.011159960342477652,,
fgtv,co2,EN - Fugitive Emissions:CO2,,HRV,1.392714613,2015,1.392715613,1.392715613,0.04193654023921191,0.872428542725296,,
fgtv,ch4,EN - Fugitive Emissions:CH4,,HRV,1.046726716,2015,1.046727716,1.046727716,0.03151837184391784,0.7162417931256768,,
fgtv,n2o,EN - Fugitive Emissions:N2O,,HRV,0.001680058,2015,0.0016810579999999998,0.0016810579999999998,5.058884229658748e-05,0.0016786482812769755,,
inen,co2,EN - Manufacturing/Construction:CO2,3.497026785642499,HRV,2.148484414,2015,2.148485414,2.148485414,0.06469380175953579,1.146921198640617,0.627670712984649,1.8185638310314325
inen,ch4,EN - Manufacturing/Construction:CH4,0.008926072180864508,HRV,0.003652548,2015,0.003653548,0.003653548,0.00010998321174192558,0.003645893645198322,1.4431243768699653,2.7799511237800953e-05
inen,n2o,EN - Manufacturing/Construction:N2O,0.014527006263933596,HRV,0.005203161,2015,0.0052041610000000006,0.0052041610000000006,0.00015667428819288051,0.00518967133018701,1.7914213768431826,8.691544381524907e-05
trns,co2,EN - Transportation:CO2,3.16694865067382,HRV,5.885325138,2015,5.885326138,5.885326138,0.1772151826129955,1.9293923551759797,-0.4618907132052263,7.389576163601797
trns,ch4,EN - Transportation:CH4,0.011008779840873943,HRV,0.013863209,2015,0.013864208999999999,0.013864208999999999,0.0004174401680332657,0.013767993701984726,-0.2059568749379107,8.153475682787334e-06
trns,n2o,EN - Transportation:N2O,0.055709338334614014,HRV,0.058990353,2015,0.058991353,0.058991353,0.0017762801432670934,0.057315957040477976,-0.055635521114187514,1.0771620263808706e-05
ippu,co2,IN - Industrial Processes:CO2,5.757749449801052,HRV,2.415890528,2015,2.415891528,2.415891528,0.07274576528120545,1.2284382285744049,1.3832814441663344,11.168014369504446
ippu,ch4,IN - Industrial Processes:CH4,0.024393395219927158,HRV,0.001673081,2015,0.001674081,0.001674081,5.0378755292029736e-05,0.0016716829591236636,13.571215622139643,0.0005161672386237844
ippu,n2o,IN - Industrial Processes:N2O,1.6488533597460715,HRV,0.946128602,2015,0.9461296020000001,0.9461296020000001,0.028489225157029573,0.6658420668834618,0.7427351984977544,0.49382067970075927
ippu,c2f6,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,c2h3f3,IN - Industrial Processes:HFC,0.2111781307204037,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,10.089213313876723,0.03691569217003516
ippu,c2hf5,IN - Industrial Processes:HFC,0.19204915666473488,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,9.084728270585117,0.029930935490548267
ippu,c3f8,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,c3h2f6,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,c3h3f5,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,c3hf7,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,c4f10,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,c4f6,IN - Industrial Processes:HFC,1.6637240072566607e-09,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-0.9999999126358855,0.0003626572227259692
ippu,c4h5f5,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,c5f12,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,c5f8,IN - Industrial Processes:HFC,9.745263372505888e-06,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-0.9994882646987688,0.0003622862119915056
ippu,c5h2f10,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,c6f14,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,cc4f8,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,cf4,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,ch2f2,IN - Industrial Processes:HFC,0.031247719313601194,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,0.6408546844249041,0.00014894143494285827
ippu,ch2fchf2,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,ch3cci2f,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,ch3ccif2,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,ch3chf2,IN - Industrial Processes:HFC,2.3751318357053727e-07,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-0.9999875279019257,0.00036264823995436527
ippu,ch3f,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,chf2cf3,IN - Industrial Processes:HFC,0.14975184860772273,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,6.863646617637016,0.017084655965238397
ippu,chf2chf2,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,chf3,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,hfcs,IN - Industrial Processes:HFC,0.584227092819646,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,29.678455358621832,0.3194324225468565
ippu,other_fcs,IN - Industrial Processes:HFC,0.00010932263866459644,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-0.994259338994753,0.0003585054524506773
ippu,pfcs,IN - Industrial Processes:PFC,9.746927096513145e-06,HRV,0.0,2015,1e-06,1e-06,0.0,0.0,8.746927096513145,7.650873363171587e-11
ippu,sf6,IN - Industrial Processes:SF6,0.0,HRV,0.005375954,2015,0.005376954,0.005376954,0.00016187732155658235,0.005361555141310121,-1.0,2.8911634318116e-05
waso,co2,Waste - Solid Waste:CO2,0.4446580861847324,HRV,3.08606e-05,2015,3.18606e-05,3.18606e-05,9.292548391651168e-07,3.0860123821385104e-05,13955.362597839729,0.19769248047772536
waso,ch4,Waste - Solid Waste:CH4,0.6515922198331382,HRV,1.255624377,2015,1.2556253769999999,1.2556253769999999,0.037808565889870416,0.813426820216485,-0.48106160342987536,0.3648560549569666
waso,n2o,Waste - Solid Waste:N2O,0.0005310412560592654,HRV,0.003034266,2015,0.003035266,0.003035266,9.136589579639353e-05,0.003029671905710673,-0.8250429266959584,6.2711415681650384e-06
trww,ch4,Waste - Wastewater Treatment:CH4,0.49077903701105485,HRV,0.441746003,2015,0.44174700299999997,0.44174700299999997,0.013301575827093386,0.3658548811842429,0.1109957366503172,0.0024041403592612426
trww,n2o,Waste - Wastewater Treatment:N2O,0.3716876116678708,HRV,0.061427249,2015,0.061428249000000004,0.061428249000000004,0.0018496584120156635,0.059614463778558245,5.050760321491025,0.09626087212307338
frst,co2,LULUCF - Forest Land:CO2,-1.2083248425198132,HRV,-6.547103826,2015,-6.547102826,6.547104826,0.1971422432754694,2.0211638904626392,-0.8154412914180472,28.502550356892765
frst,ch4,LULUCF - Forest Land:CH4,0.18973690830619175,,,2015,,,,,,
lndu,co2,LULUCF - Deforestation:CO2,0.27872310717270127,HRV,0.060839526,2015,0.060840526,0.060840526,0.0018319612693211387,0.059060600313373124,3.581208044991282,0.04747281917847875
lndu,ch4,LULUCF - Deforestation:CH4,0.615640021219008,,,2015,,,,,,
lndu,co2,LULUCF - Other Land:CO2,0.029421201163423498,HRV,0.820236897,2015,0.820237897,0.820237897,0.02469845387967277,0.5989666558050246,-0.9641308926702474,0.6253910464138804
soil,co2,LULUCF - Organic Soil:CO2,0.1391023433583069,HRV,0.092259474,2015,0.092260474,0.092260474,0.002778058841154361,0.08824846265019766,0.5077132961435566,0.0021941607249806915
soil,n2o,LULUCF - Organic Soil:N2O,0.8795736191497555,,,2015,,,,,,
